Celula,CentroideCoordenadaX,CentroideCoordenadaY,Area
0,1.5,254.0,0.5
1,119.5,251.0,6.0
2,172.5,245.0,19.0
3,229.0,209.0,794.5
4,42.5,203.5,547.0
5,93.3171615600586,207.3358154296875,1165.0
6,149.05262756347656,169.94737243652344,359.5
7,36.09090805053711,169.72727966308594,480.5
8,184.08824157714844,162.2058868408203,371.5
9,86.5,158.0,417.5
10,253.5,127.5,4.0
11,197.5,132.0,416.0
12,143.5,132.5,404.0
13,41.0,113.5,626.0
14,115.5,91.5,505.5
15,87.0,90.5,476.5
16,253.5,68.5,2.0
17,48.15254211425781,73.59322357177734,395.5
18,142.5,69.0,417.5
19,2.0,63.0,4.0
20,241.5,75.5,32.0
21,103.5,36.5,375.0
22,161.5,34.5,721.0
23,20.5,29.0,427.5
24,248.0,29.5,16.0
25,56.0,16.5,372.5
26,202.49998474121094,11.299999237060547,14.0
